P_sem,P_bra,A_pat,N_ber,S_ocu,P_pag,C_cal,O_smi,S_col,D_arg,Paral_patac,G_gal,D_aur,Riqueza,Abundancia,Metodo,Habitat,Site,Waypoint,Point
3,4,0,0,0,17,1,6,0,0,0,0,1,6,32,BRUVS,Reef,G_Nuevo,1852,7
0,10,7,0,9,0,0,0,0,0,0,0,0,3,26,UVC,Reef,G_Nuevo,1852,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRUVS,Soft-bottom,G_Nuevo,1854,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UVC,Soft-bottom,G_Nuevo,1854,7
2,9,2,25,2,2,0,0,0,1,0,0,0,7,43,BRUVS,Reef,G_Nuevo,PSU,8
0,34,22,3,2,0,0,0,0,0,0,0,0,4,61,UVC,Reef,G_Nuevo,PSU,8
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,BRUVS,Soft-bottom,G_Nuevo,1855,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UVC,Soft-bottom,G_Nuevo,1855,8
2,5,2,18,2,4,0,0,0,0,0,0,0,6,33,BRUVS,Reef,G_Nuevo,PASAL,9
1,42,19,12,1,0,0,0,0,0,0,0,0,5,75,UVC,Reef,G_Nuevo,PASAL,9
0,4,0,11,0,22,0,0,0,0,0,0,0,3,37,BRUVS,Soft-bottom,G_Nuevo,1857,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UVC,Soft-bottom,G_Nuevo,1857,9
2,3,1,16,2,0,0,0,0,0,0,0,0,5,24,BRUVS,Reef,G_Nuevo,1856,10
1,13,30,5,13,0,0,0,0,0,0,0,0,5,62,UVC,Reef,G_Nuevo,1856,10
0,0,0,26,0,0,1,0,0,0,0,0,0,2,27,BRUVS,Soft-bottom,G_Nuevo,1858,10
0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,UVC,Soft-bottom,G_Nuevo,1858,10
3,5,0,23,1,14,0,0,0,0,0,0,0,5,46,BRUVS,Reef,G_Nuevo,1859,11
4,17,81,0,23,3,0,0,0,0,0,0,0,5,128,UVC,Reef,G_Nuevo,1859,11
1,0,0,0,0,16,0,0,0,0,0,1,0,3,18,BRUVS,Soft-bottom,G_Nuevo,1861,11
1,3,0,0,0,0,0,0,0,0,0,0,0,2,4,UVC,Soft-bottom,G_Nuevo,1861,11
0,8,3,5,8,11,0,0,0,0,0,1,0,6,36,BRUVS,Reef,G_Nuevo,1860,12
1,15,10,2,25,0,0,0,0,0,0,0,0,5,53,UVC,Reef,G_Nuevo,1860,12
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,BRUVS,Soft-bottom,G_Nuevo,1862,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UVC,Soft-bottom,G_Nuevo,1862,12
7,17,24,0,6,0,0,0,0,0,0,0,0,4,54,BRUVS,Reef,G_San_Jose,1865,13
3,11,0,0,0,0,0,0,5,0,0,0,2,4,21,BRUVS,Reef,G_San_Jose,1866,14
0,0,0,0,0,0,0,8,0,0,2,0,3,3,13,BRUVS,Soft-bottom,G_San_Jose,1869,13
3,11,0,0,0,0,0,0,12,0,0,0,0,3,26,BRUVS,Soft-bottom,G_San_Jose,1870,14
3,1,0,0,0,5,0,3,3,0,0,1,0,6,16,BRUVS,Soft-bottom,G_San_Jose,1871,15
12,9,4,0,2,3,0,0,0,0,0,1,0,6,31,BRUVS,Reef,G_San_Jose,1872,15
8,62,84,0,6,0,0,0,0,0,0,0,0,4,160,UVC,Reef,G_San_Jose,1865,13
2,17,26,0,5,0,0,0,0,0,0,0,0,4,50,UVC,Reef,G_San_Jose,1866,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UVC,Soft-bottom,G_San_Jose,1869,13
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,UVC,Soft-bottom,G_San_Jose,1870,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UVC,Soft-bottom,G_San_Jose,1871,15
9,12,20,0,5,0,0,0,0,0,0,0,0,4,46,UVC,Reef,G_San_Jose,1872,15
